Symbol,Name,Price_Intraday,Change,Percentage_Change
YRCW,YRC Worldwide Inc.,4.11,-0.09,-2.14
WWD,"Woodward, Inc.",88.5,-0.93,-1.04
PXLW,"Pixelworks, Inc.",2.37,0.37,18.5
MMDMR,Modern Media Acquisition Corp.,0.39,-0.04,-9.3
PRCP,"Perceptron, Inc.",6.9,-0.01,-0.14
ALDX,"Aldeyra Therapeutics, Inc.",6.68,-0.27,-3.88
ACAMU,Acamar Partners Acquisition Corp.,10.4433,0.0433,0.42
XSPA,"XpresSpa Group, Inc.",1.9,-0.05,-2.56
BRY,Berry Corporation,2.67,-0.07,-2.55
TBLTW,"ToughBuilt Industries, Inc. WT EXP 110923",0.0545,-0.006,-9.92
NAII,"Natural Alternatives International, Inc.",7.9,0.05,0.64
ACTT,Act II Global Acquisition Corp.,10.79,-0.1,-0.92
MMDMU,Modern Media Acquisition Corp.,26.5843,-0.0349,-0.13
CERS,Cerus Corporation,5.52,-0.25,-4.33
IIIV,"i3 Verticals, Inc.",23.04,0.18,0.79
PRFX,PAINREFORM LTD,4.31,-0.18,-4.01
GRCY,Greencity Acquisition Corporation,9.835,0.065,0.67
FWONK,Formula One Group,39.5,0.24,0.61
IDLB,Invesco FTSE International Low Beta Equal Weight ETF,27.92,0.04,0.14
HJLIW,"Hancock Jaffe Laboratories, Inc. Warrants",0.0471,-0.0331,-41.27
CPHC,Canterbury Park Holding Corporation,11.42,0.17,1.51
BSRR,Sierra Bancorp,19.47,-0.99,-4.84
KBWP,Invesco KBW Property & Casualty Insurance ETF,60.42,-0.1297,-0.21
GECCN,Great Elm Capital Corp. - Notes,21.7,-0.15,-0.69
HSAQ,Health Sciences Acquisitions Corporation 2,10.9,-0.1,-0.91
RILYH,"B. Riley Financial, Inc.",25.05,-0.05,-0.2
SATS,EchoStar Corporation,24.54,0.1,0.41
RIGL,"Rigel Pharmaceuticals, Inc.",2.62,-0.12,-4.38
SHBI,"Shore Bancshares, Inc.",10.76,-0.57,-5.03
KMDA,Kamada Ltd.,7.33,0.01,0.14
QYLD,Global X NASDAQ 100 Covered Call ETF,22.14,0.05,0.23
PRAA,"PRA Group, Inc.",36.32,-0.8,-2.16
SWBI,"Smith & Wesson Brands, Inc.",17.52,1.01,6.12
RBCAA,"Republic Bancorp, Inc.",32.23,-1.33,-3.96
THBRW,"Thunder Bridge Acquisition II, Ltd.",1.27,0.08,6.72
WATT,Energous Corporation,2.15,-0.05,-2.27
VIIX,VelocityShares VIX Short-Term ETN,68.37,-1.48,-2.12
BHFAO,"Brighthouse Financial, Inc.",27.73,-0.11,-0.4
CATC,Cambridge Bancorp,61.93,-0.78,-1.24
GEOS,Geospace Technologies Corporation,5.15,-0.08,-1.53
ESSCW,East Stone Acquisition Corporation,0.115,-0.023,-16.67
LTRPA,"Liberty TripAdvisor Holdings, Inc.",1.94,-0.1,-4.9
FMBI,"First Midwest Bancorp, Inc.",12.07,-0.39,-3.13
USAK,"USA Truck, Inc.",8.94,-1.08,-10.78
COST,Costco Wholesale Corporation,385.66,0.43,0.11
AGIO,"Agios Pharmaceuticals, Inc.",39.23,-2.85,-6.77
EXPD,"Expeditors International of Washington, Inc.",88.32,0.91,1.04
QCRH,"QCR Holdings, Inc.",32.03,-1.69,-5.01
MGYR,"Magyar Bancorp, Inc.",8.06,0,0
OCCIP,"OFS Credit Company, Inc.",23.73,-0.2,-0.84
VTWV,Vanguard Russell 2000 Value Index Fund ETF Shares,94.79,-1.1567,-1.21
RILYN,"B. Riley Financial, Inc. - 6.50",23.29,-0.01,-0.04
CLDX,"Celldex Therapeutics, Inc.",18.03,0.21,1.18
CPLP,Capital Product Partners L.P.,7.25,-0.26,-3.46
OSMT,Osmotica Pharmaceuticals plc,5.88,-0.05,-0.84
ARVN,"Arvinas, Inc.",21.96,-0.29,-1.3
ICCH,"ICC Holdings, Inc.",12.27,0,0
ARYA,ARYA Sciences Acquisition Corp.,10.28,-0.22,-2.1
IBKCP,IBERIABANK Corporation,24.23,-0.01,-0.04
QQQM,,121.04,0.12,0.1
PRSC,The Providence Service Corporation,132.75,7.81,6.25
CHKP,Check Point Software Technologies Ltd.,121.26,0.03,0.02
RVLT,"Revolution Lighting Technologies, Inc.",0.11,0,0
WPRT,Westport Fuel Systems Inc.,1.92,-0.09,-4.48
BOOM,DMC Global Inc.,35.36,-0.64,-1.78
TILE,"Interface, Inc.",6.73,-0.17,-2.46
IEA,"Infrastructure and Energy Alternatives, Inc.",9.42,0.02,0.21
FFNW,"First Financial Northwest, Inc.",10.15,0.04,0.4
SWIR,"Sierra Wireless, Inc.",11.06,-0.12,-1.07
VG,Vonage Holdings Corp.,12.71,-0.01,-0.08
MEDP,"Medpace Holdings, Inc.",118.63,-1.51,-1.26
RAND,Rand Capital Corporation,12.65,-0.14,-1.09
LDEM,iShares ESG MSCI EM Leaders ETF,56.54,0.47,0.84
PLIN,"China Xiangtai Food Co., Ltd.",0.79,0.0026,0.33
GRPN,"Groupon, Inc.",22.32,-0.08,-0.36
MDCA,MDC Partners Inc.,2.12,-0.1,-4.5
NVCR,NovoCure Limited,126.24,4.05,3.31
SDC,"SmileDirectClub, Inc.",10.1,-0.05,-0.49
FKU,First Trust United Kingdom AlphaDEX Fund,32.3042,0.3218,1.01
VSEC,VSE Corporation,30.5,-0.2,-0.65
TBLT,"ToughBuilt Industries, Inc.",0.6996,-0.0102,-1.44
AKUS,"Akouos, Inc.",19.18,-1.33,-6.48
FMB,First Trust Managed Municipal ETF,55.76,0.07,0.13
HAPP,Happiness Biotech Group Limited,1.73,-0.02,-1.14
PETZ,"TDH Holdings, Inc.",1.31,-0.04,-2.96
CTXS,"Citrix Systems, Inc.",118.89,-0.53,-0.44
RCII,"Rent-A-Center, Inc.",30.66,-0.21,-0.68
MIDD,The Middleby Corporation,122.6,1.85,1.53
SYRS,"Syros Pharmaceuticals, Inc.",8.44,0.33,4.07
FLIC,The First of Long Island Corporation,14.91,-0.5,-3.24
SHLO,"Shiloh Industries, Inc.",0.38,-0.3195,-45.68
LHCG,"LHC Group, Inc.",226.32,-1.67,-0.73
HBCP,"Home Bancorp, Inc.",25.9,-0.7,-2.63
XONE,The ExOne Company,10.07,-0.36,-3.45
EQ,"Equillium, Inc.",4.45,-0.44,-9
LEGH,Legacy Housing Corporation,13.6,-0.58,-4.09
BSJM,Invesco BulletShares 2022 High Yield Corporate Bond ETF,23.19,-0.04,-0.17
SPSC,"SPS Commerce, Inc.",91,-0.66,-0.72
PTCT,"PTC Therapeutics, Inc.",59.38,0.06,0.1
SATSV,EchoStar Corporation,45.12,1.89,4.37
FBIZ,"First Business Financial Services, Inc.",16.25,-0.52,-3.1
SYPR,"Sypris Solutions, Inc.",1.19,-0.05,-4.03
BSVN,Bank7 Corp.,9.55,-0.18,-1.85
LAUR,"Laureate Education, Inc.",14.03,-0.2,-1.41
ITCI,"Intra-Cellular Therapies, Inc.",24.46,-0.33,-1.33
RVMD,"Revolution Medicines, Inc.",33.51,-0.08,-0.24
HSACW,Health Sciences Acquisitions Corporation,2.25,0.05,2.27
CATM,Cardtronics plc,17.63,-1.77,-9.12
FUSN,Fusion Pharmaceuticals Inc.,12.77,-0.91,-6.65
JFIN,Jiayin Group Inc.,2.71,-0.03,-1.09
TCFC,The Community Financial Corporation,22.81,0.05,0.22
FMCI,Forum Merger II Corporation,24.07,-2.11,-8.06
REPH,"Recro Pharma, Inc.",1.6,0.03,1.91
IRDM,Iridium Communications Inc.,28.6,-0.15,-0.52
CRUS,"Cirrus Logic, Inc.",73.93,2.01,2.79
SHSP,"SharpSpring, Inc.",13.56,1.81,15.4
PRPL,"Purple Innovation, Inc.",31.04,0.04,0.13
GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,69.0839,0.2039,0.3
CPRX,"Catalyst Pharmaceuticals, Inc.",3.15,-0.18,-5.41
KOR,Corvus Gold Inc.,2.72,0.16,6.25
NFINW,Netfin Acquisition Corp.,2.21,0.1,4.74
MTC,"Mmtec, Inc.",0.97,-0.0027,-0.28
GOOGL,Alphabet Inc.,1759.73,-2.77,-0.16
HBIO,"Harvard Bioscience, Inc.",3.67,-0.07,-1.87
CWBC,Community West Bancshares,8.34,0,0
SBAC,SBA Communications Corporation,306.62,0.8,0.26
GRFS,"Grifols, S.A.",18.42,0,0
PNBK,"Patriot National Bancorp, Inc.",6.48,-0.26,-3.86
CYBE,CyberOptics Corporation,24.26,-0.24,-0.98
BHFAL,"Brighthouse Financial, Inc.",26.58,-0.4,-1.48
BHFAP,"Brighthouse Financial, Inc.",27.32,-0.16,-0.58
UNAM,Unico American Corporation,5.33,0.25,4.92
CRDF,"Cardiff Oncology, Inc.",18.13,1.13,6.65
MICT,"MICT, Inc.",1.65,0,0
PLAB,"Photronics, Inc.",10.78,0.01,0.09
LYFT,"Lyft, Inc.",29.84,0.81,2.79
XGN,Exagen Inc.,15,-0.76,-4.82
PAND,"Pandion Therapeutics, Inc.",13.19,0.22,1.7
NATH,"Nathan's Famous, Inc.",51.15,0,0
CATH,Global X S&P 500 Catholic Values ETF,43.47,-0.07,-0.16
GFN,General Finance Corporation,7,-0.13,-1.82
OBSV,ObsEva SA,1.97,-0.13,-6.19
CRNC,Cerence Inc.,63.82,1.02,1.62
CHSCO,CHS Inc.,27.89,-0.49,-1.73
