,symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,priceAvg50,priceAvg200,avgVolume
2526,ONB,Old National Bancorp,13.98,-1.89,-0.27,13.93,14.38,18.74,11.19,13.542571,13.703428,604887.0
2527,NVUS,"Novus Therapeutics, Inc.",20.96,-7.95,-1.81,20.32,22.8,27.32,4.5,18.077171,12.419492,226320.0
2528,CLAR,Clarus Corporation,16.93,0.62,0.105,16.795,17.0869,17.75,7.8642716,15.1402855,12.340149,222604.0
2529,LCNB,LCNB Corp.,13.87,-1.7,-0.24,13.8,14.24,19.5,10.03,13.909429,14.205358,17039.0
2530,GLADD,Gladstone Capital Corporation -,25.18,0.0,0.0,25.1,25.18,27.78,13.55,25.233715,24.463285,7959.0
2531,LVHD,Legg Mason Low Volatility High Dividend ETF,30.1406,-0.19,-0.0564,30.0201,30.4299,34.69,21.196,30.0682,29.280014,87601.0
2532,HLAL,Wahed FTSE USA Shariah ETF,31.1,0.32,0.1,30.84,31.1,31.97,18.6,30.167744,28.166042,12804.0
2533,FTXD,First Trust Nasdaq Retail ETF,27.7153,0.51,0.1393,27.59,27.98,28.245,16.303,26.938314,24.745857,3384.0
2534,NOVT,Novanta Inc.,120.75,1.11,1.32,118.1,121.91,121.96,66.44,110.846855,104.221214,99692.0
2535,VCNX,"Vaccinex, Inc.",1.75,-2.23,-0.04,1.7127,1.8,12.23,1.63,1.9688572,4.0255,905285.0
2536,RFAP,First Trust RiverFront Dynamic Asia Pacific ETF,52.9325,-0.07,-0.0375,52.9325,52.9325,53.85,36.61,50.6208,48.46004,606.0
2537,VALU,"Value Line, Inc.",28.99,3.31,0.93,27.03,29.4,36.6,20.01,26.664,26.78143,3853.0
2538,PID,Invesco International Dividend Achievers ETF,13.26,-0.67,-0.09,13.25,13.41,17.59,9.35,13.000857,12.737785,141481.0
2539,VLYPP,Valley National Bancorp,26.58,-0.64,-0.1701,26.54,26.83,30.39,12.26,27.182858,25.900429,4668.0
2540,HYMCZ,Hycroft Mining Holding Corporation,0.275,-1.79,-0.005,0.275,0.2995,0.2995,0.275,,,
2541,PCYG,"Park City Group, Inc.",4.26,-2.96,-0.13,4.22,4.55,6.22,3.33,4.819143,4.849357,29843.0
2542,VMD,"Viemed Healthcare, Inc.",9.16,4.09,0.36,8.79,9.3,11.98,2.44,8.820286,9.259536,246689.0
2543,REG,Regency Centers Corporation,34.05,-5.89,-2.13,33.29,36.645,65.89,31.8,37.669716,41.243073,1138464.0
2544,SSPK,Silver Spike Acquisition Corp.,10.11,0.6,0.06,10.05,10.16,10.57,9.51,10.1189995,10.061386,81420.0
2545,ASRVP,Ameriserv Financial Capital Trust I PFD A GTD 8.45,27.7927,-0.42,-0.1173,27.7927,27.7927,30.25,22.76,27.992,27.822144,607.0
2546,XOMA,XOMA Corporation,25.6,-3.03,-0.8,25.135,26.99,28.85,14.14,21.196285,20.588785,33256.0
2547,OMCL,"Omnicell, Inc.",91.77,0.1,0.09,90.66,93.07,94.85,54.24,80.31114,71.56129,486631.0
2548,PETS,"PetMed Express, Inc.",29.89,-1.84,-0.56,29.82,30.62,42.89,21.2,30.971428,33.6625,524139.0
2549,CARV,"Carver Bancorp, Inc.",6.87,2.23,0.15,6.71,7.005,22.97,1.25,6.668286,5.289786,792090.0
2550,IIIN,"Insteel Industries, Inc.",22.28,-2.45,-0.56,21.99,22.97,26.61,10.0,20.278858,18.73607,68665.0
2551,ALTR,Altair Engineering Inc.,50.05,5.19,2.47,45.13,50.33,50.33,23.04,44.602856,39.735714,225581.0
2552,EARS,Auris Medical Holding Ltd.,0.8245,-0.93,-0.0077,0.8101,0.8349,1.83,0.65,0.84937143,0.93918574,2147015.0
2553,OFIX,Orthofix Medical Inc.,35.21,-7.97,-3.05,35.05,38.12,47.91,22.11,32.556572,32.58843,111126.0
2554,FITBO,Fifth Third Bancorp,26.72,-0.74,-0.2,26.6,26.83,26.99,10.5,26.370428,25.405922,28479.0
2555,IBTB,iShares Trust - iShares iBonds Dec 2022 Term Treasury ETF,25.53,0.0,0.0,25.52,25.54,25.9,25.05,25.549555,25.576687,2313.0
2556,BBIO,"BridgeBio Pharma, Inc.",39.375,-3.94,-1.615,39.02,41.35,48.36,14.23,39.182713,33.083572,659004.0
2557,MGI,"MoneyGram International, Inc.",5.51,0.73,0.04,5.36,5.595,5.92,1.15,3.8442857,3.0772858,2591176.0
2558,TRPX,Therapix Biosciences Ltd.,0.317,-49.68,-0.313,0.3012,0.399,169.397,0.3012,7.165571,19.317085,1552.0
